=== 2) ideal-hall ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
Идеальный зал: 20 ходов (MaxTurns пресета — публично известная верхняя граница, не тайный EndTurn).

Ход        sector1
   1          4,760
   2         10,520
   3         16,280
   4         22,040
   5         27,900
   6         34,240
   7         40,610
   8         46,980
   9         53,025
  10         61,370
  11         71,511
  12         82,014
  13         92,849
  14        103,472
  15        114,835
  16        127,188
  17        140,123
  18        153,419
  19        167,079
  20        181,106

JSON-отчёт записан: /Users/yafarkin/Documents/dev/im_prod/docs/rebalance-2sector/reports/step2-ideal-hall.json
